PULocationID,hour,day_of_week,is_weekend,predicted_total,predicted_long,predicted_long_rate,LocationID,Borough,Zone,recommendation_score
54,4,3,0,0.2313670892781919,0.194457164489239,0.840470289425766,54,Brooklyn,Columbia Street,0.194457164489239
22,4,3,0,0.29919155309142115,0.194457164489239,0.649942027039181,22,Brooklyn,Bensonhurst West,0.194457164489239
169,4,3,0,0.35916200454987945,0.194457164489239,0.5414190867236718,169,Bronx,Mount Hope,0.194457164489239
201,4,3,0,0.2313670892781919,0.194457164489239,0.840470289425766,201,Queens,Rockaway Park,0.194457164489239
60,4,3,0,0.3283510782654325,0.194457164489239,0.5922233163249845,60,Bronx,Crotona Park East,0.194457164489239
160,4,3,0,0.35916200454987945,0.194457164489239,0.5414190867236718,160,Queens,Middle Village,0.194457164489239
29,4,3,0,0.20458128791145944,0.1604451144228094,0.7842609461538257,29,Brooklyn,Brighton Beach,0.1604451144228094
19,4,3,0,0.20458128791145944,0.1604451144228094,0.7842609461538257,19,Queens,Bellerose,0.1604451144228094
174,4,3,0,0.17957436684521053,0.1604451144228094,0.8934744821409274,174,Bronx,Norwood,0.1604451144228094
147,4,3,0,0.29919155309142115,0.1604451144228094,0.5362621797473798,147,Bronx,Longwood,0.1604451144228094
227,4,3,0,0.43803107610442205,0.1604451144228094,0.36628705855691607,227,Brooklyn,Sunset Park East,0.1604451144228094
217,4,3,0,0.29919155309142115,0.13626736912375242,0.4554519260846729,217,Brooklyn,South Williamsburg,0.13626736912375242
20,4,3,0,0.29919155309142115,0.13626736912375242,0.4554519260846729,20,Bronx,Belmont,0.13626736912375242
16,4,3,0,0.13448653445035877,0.13448653445035877,1.0,16,Queens,Bayside,0.13448653445035877
185,4,3,0,0.17957436684521053,0.09934716829826408,0.553236912615147,185,Bronx,Pelham Parkway,0.09934716829826408
93,4,3,0,0.17957436684521053,0.09934716829826408,0.553236912615147,93,Queens,Flushing Meadows-Corona Park,0.09934716829826408
11,4,3,0,0.17957436684521053,0.09934716829826408,0.553236912615147,11,Brooklyn,Bath Beach,0.09934716829826408
149,4,3,0,0.20458128791145944,0.09934716829826408,0.48561219509606596,149,Brooklyn,Madison,0.09934716829826408
57,4,3,0,0.13448653445035877,0.09934716829826408,0.7387146133573305,57,Queens,Corona,0.09934716829826408
171,4,3,0,0.13448653445035877,0.09934716829826408,0.7387146133573305,171,Queens,Murray Hill-Queens,0.09934716829826408
52,4,3,0,0.17957436684521053,0.09934716829826408,0.553236912615147,52,Brooklyn,Cobble Hill,0.09934716829826408
3,4,3,0,0.17957436684521053,0.09934716829826408,0.553236912615147,3,Bronx,Allerton/Pelham Gardens,0.09934716829826408
